Name,Condition,Price,Location,Link,Description,Car_code,Year of manufacture,Condition,Origin,Body type,Engine,Exterior color,Interior color,Seats,Doors,Mileage
Toyota Veloz Cross 1.5 CVT - 2024, New car,633 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-toyota-veloz-cross-1.5-cvt-2024-5385415," *Domestic assembly car, Silver color, Petrol engine , Automatic transmission ... ",Code: 5385415,2024.0,New car,Assembled domestically,SUV,Petrol,Silver,Black,7 seats,0 doors,
Porsche Macan 2.0 - 2022, Used car,3 Billion VND 250 Million VND,Hanoi,https://bonbanh.com/xe-porsche-macan-2.0-2022-4971872," *Imported car, White color, Petrol engine 2.0 L, Automatic transmission, đã đi 3,800 km ... ",Code: 4971872,2022.0,Used car,Imported,SUV,Petrol  2.0 L,White,Red,5 seats,5 doors,"3,800 Km"
Haval H6 HEV - 2023, New car,886 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-haval-h6-hev-2023-5202854," *Imported car, Black color, Hybrid car 1.5 L, Automatic transmission ... ",Code: 5202854,2023.0,New car,Imported,SUV,Hybrid  1.5 L,Black,Black,5 seats,5 doors,
LandRover Range Rover Autobiography LWB 3.0 I6 AWD - 2023, Used car,12 Billion VND 399 Million VND,Hanoi,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-3.0-i6-awd-2023-5445205," *Imported car, White color, Petrol engine 3.0 L, Automatic transmission, đã đi 3,999 km ... ",Code: 5445205,2023.0,Used car,Imported,SUV,Petrol  3.0 L,White,Brown,5 seats,5 doors,"3,999 Km"
Nissan X trail 2.0 SL 2WD - 2017, Used car,565 Million VND,Hanoi,https://bonbanh.com/xe-nissan-x_trail-2.0-sl-2wd-2017-5361693," *Domestic assembly car, White color, Petrol engine 2.0 L, Automatic transmission, đã đi 56,000 km ... ",Code: 5361693,2017.0,Used car,Assembled domestically,SUV,Petrol  2.0 L,White,Black,7 seats,5 doors,"56,000 Km"
Ford Focus Trend 1.5L - 2017, Used car,375 Million VND,Hanoi,https://bonbanh.com/xe-ford-focus-trend-1.5l-2017-5330560," *Domestic assembly car, White color, Petrol engine 1.5 L, Automatic transmission, đã đi 70,000 km ... ",Code: 5330560,2017.0,Used car,Assembled domestically,Sedan,Petrol  1.5 L,White,Kem,5 seats,4 cửa,"70,000 Km"
LandRover Range Rover Autobiography LWB 5.0 V8 - 2019, Used car,7 Billion VND 200 Million VND,Hanoi,https://bonbanh.com/xe-landrover-range_rover-autobiography-lwb-5.0-v8-2019-5325689," *Imported car, Black color, Petrol engine 5.0 L, Automatic transmission, đã đi 56,000 km ... ",Code: 5325689,2019.0,Used car,Imported,SUV,Petrol  5.0 L,Black,Brown,4 chỗ,5 doors,"56,000 Km"
Nissan Sunny XV Premium - 2020, Used car,390 Million VND,Hanoi,https://bonbanh.com/xe-nissan-sunny-xv-premium-2020-5390061," *Domestic assembly car, Silver color, Petrol engine 1.5 L, Automatic transmission, đã đi 21,000 km ... ",Code: 5390061,2020.0,Used car,Assembled domestically,Sedan,Petrol  1.5 L,Silver,Kem,5 seats,4 cửa,"21,000 Km"
Maserati Levante 3.0 V6 - 2018, Used car,2 Billion VND 929 Million VND,Hanoi,https://bonbanh.com/xe-maserati-levante-3.0-v6-2018-5023663," *Imported car, Black color, Petrol engine 3.0 L, Automatic transmission, đã đi 12,874 km ... ",Code: 5023663,2018.0,Used car,Imported,SUV,Petrol  3.0 L,Black,Brown,5 seats,5 doors,"12,874 Km"
Mercedes Benz GLB 200 AMG - 2023, New car,2 Billion VND 89 Million VND,Hanoi,https://bonbanh.com/xe-mercedes_benz-glb-200-amg-2023-4925370," *Imported car, màu xanh, Petrol engine 1.3 L, Automatic transmission ... ",Code: 4925370,2023.0,New car,Imported,SUV,Petrol  1.3 L,Xanh,Nhiều màu,7 seats,5 doors,
Mercedes Benz E class E240 - 2003, Used car,170 Million VND,Hanoi,https://bonbanh.com/xe-mercedes_benz-e_class-e240-2003-4982472," *Imported car, Black color, Petrol engine 2.6 L, Automatic transmission, đã đi 166,000 km ... ",Code: 4982472,2003.0,Used car,Imported,Sedan,Petrol  2.6 L,Black,Black,5 seats,4 cửa,"166,000 Km"
Toyota Corona GL 2.0 - 1993, Used car,79 Million VND,Hanoi,https://bonbanh.com/xe-toyota-corona-gl-2.0-1993-5419368," *Imported car, màu ghi, Petrol engine 2.0 L, Manual transmission ... ",Code: 5419368,1993.0,Used car,Imported,Sedan,Petrol  2.0 L,Ghi,Ghi,5 seats,4 cửa,0 Km
Toyota Corolla altis 1.8G AT - 2018, Used car,525 Million VND,Hanoi,https://bonbanh.com/xe-toyota-corolla_altis-1.8g-at-2018-5338361," *Domestic assembly car, Black color, Petrol engine 1.8 L, Automatic transmission, đã đi 80,000 km ... ",Code: 5338361,2018.0,Used car,Assembled domestically,Sedan,Petrol  1.8 L,Black,Kem,5 seats,4 cửa,"80,000 Km"
VinFast Fadil 1.4 AT - 2021, Used car,335 Million VND,Hanoi,https://bonbanh.com/xe-vinfast-fadil-1.4-at-2021-5445090," *Domestic assembly car, màu xanh, Petrol engine 1.4 L, Automatic transmission, đã đi 25,000 km ... ",Code: 5445090,2021.0,Used car,Assembled domestically,Hatchback,Petrol  1.4 L,Xanh,Black,5 seats,5 doors,"25,000 Km"
Lexus ES 250 F Sport - 2023, New car,2 Billion VND 710 Million VND,Hanoi,https://bonbanh.com/xe-lexus-es-250-f-sport-2023-5240190," *Imported car, White color, Petrol engine 2.5 L, Automatic transmission ... ",Code: 5240190,2023.0,New car,Imported,Sedan,Petrol  2.5 L,White,Nhiều màu,5 seats,4 cửa,
Mazda CX5 Luxury 2.0 AT - 2023, New car,799 Million VND,Thanh Hóa,https://bonbanh.com/xe-mazda-cx5-luxury-2.0-at-2023-5408474," *Domestic assembly car, White color, Petrol engine 2.0 L, Automatic transmission ... ",Code: 5408474,2023.0,New car,Assembled domestically,SUV,Petrol  2.0 L,White,Black,5 seats,5 doors,
Mercedes Benz S class S400L - 2015, Used car,1 Billion VND 350 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-mercedes_benz-s_class-s400l-2015-5426032," *Domestic assembly car, White color, Petrol engine 3.0 L, Automatic transmission, đã đi 80,000 km ... ",Code: 5426032,2015.0,Used car,Assembled domestically,Sedan,Petrol  3.0 L,White,Brown,5 seats,4 cửa,"80,000 Km"
Mercedes Benz GLE Class GLE 400 4Matic - 2016, Used car,1 Billion VND 239 Million VND,Ho Chi Minh City,https://bonbanh.com/xe-mercedes_benz-gle_class-gle-400-4matic-2016-5427388," *Imported car, Black color, Petrol engine 3.0 L, Automatic transmission, đã đi 94,000 km ... ",Code: 5427388,2016.0,Used car,Imported,SUV,Petrol  3.0 L,Black,Kem,5 seats,5 doors,"94,000 Km"
Hyundai Elantra 2.0 AT - 2019, Used car,475 Million VND,Hanoi,https://bonbanh.com/xe-hyundai-elantra-2.0-at-2019-5453794," *Domestic assembly car, Black color, Petrol engine 2.0 L, Automatic transmission, đã đi 54,000 km ... ",Code: 5453794,2019.0,Used car,Assembled domestically,Sedan,Petrol  2.0 L,Black,Kem,5 seats,4 cửa,"54,000 Km"
Porsche Cayenne 3.6 V6 - 2008, Used car,680 Million VND,Hanoi,https://bonbanh.com/xe-porsche-cayenne-3.6-v6-2008-5092945," *Imported car, màu xám, Petrol engine 3.6 L, Automatic transmission, đã đi 98,698 km ... ",Code: 5092945,2008.0,Used car,Imported,SUV,Petrol  3.6 L,Xám,Black,5 seats,5 doors,"98,698 Km"
Mitsubishi Xpander Cross 1.5 AT - 2023, New car,612 Million VND,Hanoi,https://bonbanh.com/xe-mitsubishi-xpander-cross-1.5-at-2023-5335447," *Imported car, màu cam, Petrol engine 1.5 L, Automatic transmission ... ",Code: 5335447,2023.0,New car,Imported,SUV,Petrol  1.5 L,Cam,Black,7 seats,5 doors,
