model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 A1,2017,85000.0,Manual,15735,Petrol,150,55.4,1.4
 A6,2016,105333.33333333333,Automatic,36203,Diesel,20,64.2,2.0
 A1,2016,67666.66666666667,Manual,29946,Petrol,30,55.4,1.4
 A4,2017,118000.0,Automatic,25952,Diesel,145,67.3,2.0
 A3,2019,117000.0,Manual,1998,Petrol,145,49.6,1.0
 A1,2016,85000.0,Automatic,32260,Petrol,30,58.9,1.4
 A6,2016,85000.0,Automatic,76788,Diesel,30,61.4,2.0
 A4,2016,74666.66666666667,Manual,75185,Diesel,20,70.6,2.0
 A3,2015,62666.666666666664,Manual,46112,Petrol,20,60.1,1.4
 A1,2016,73666.66666666667,Manual,22451,Petrol,30,55.4,1.4
 A3,2017,108666.66666666667,Manual,28955,Petrol,145,58.9,1.4
 A6,2016,105333.33333333333,Automatic,52198,Diesel,125,57.6,2.0
 Q3,2016,108666.66666666667,Manual,44915,Diesel,145,52.3,2.0
 A3,2017,110666.66666666667,Manual,21695,Petrol,30,58.9,1.4
 A6,2015,98000.0,Manual,47348,Diesel,30,61.4,2.0
 A3,2017,98333.33333333333,Automatic,26156,Petrol,145,58.9,1.4
 Q3,2016,100000.0,Automatic,28396,Diesel,145,53.3,2.0
 A3,2014,85000.0,Automatic,30516,Petrol,30,56.5,1.4
 Q5,2016,121333.33333333333,Automatic,37652,Diesel,200,47.1,2.0
 Q3,2014,104666.66666666667,Manual,34110,Petrol,145,47.9,1.4
 A5,2017,121333.33333333333,Automatic,37100,Diesel,145,67.3,2.0
 Q5,2016,128666.66666666667,Automatic,23714,Diesel,200,47.1,2.0
 A5,2017,176333.33333333334,Automatic,21649,Diesel,145,58.9,3.0
 A6,2015,124333.33333333333,Automatic,62748,Diesel,150,53.3,3.0
 Q5,2016,127666.66666666667,Automatic,23789,Diesel,200,47.1,2.0
 A4,2017,130000.0,Automatic,17418,Diesel,145,62.8,2.0
 A5,2017,137333.33333333334,Automatic,33300,Diesel,145,61.4,2.0
 A1,2018,106666.66666666667,Manual,10793,Petrol,145,56.5,1.4
 A4,2018,121333.33333333333,Automatic,25138,Diesel,145,70.6,2.0
 A6,2015,89333.33333333333,Manual,61176,Diesel,30,62.8,2.0
 A1,2015,60666.666666666664,Automatic,54754,Diesel,0,76.3,1.6
 Q3,2017,111666.66666666667,Manual,21369,Petrol,125,51.4,1.4
 Q3,2014,95666.66666666667,Automatic,39190,Diesel,205,47.9,2.0
 Q3,2017,108666.66666666667,Automatic,47482,Petrol,150,47.9,1.4
 Q3,2016,107666.66666666667,Automatic,40501,Diesel,150,51.4,2.0
 Q3,2014,78666.66666666667,Automatic,43195,Diesel,200,47.9,2.0
 A1,2017,72666.66666666667,Manual,31447,Petrol,145,67.3,1.0
 A6,2016,123333.33333333333,Automatic,34030,Diesel,125,58.9,2.0
 A4,2017,113000.0,Manual,29063,Diesel,145,70.6,2.0
 A3,2017,120333.33333333333,Manual,29545,Diesel,145,65.7,2.0
 A3,2015,72333.33333333333,Manual,75619,Diesel,20,68.9,2.0
 Q3,2016,109666.66666666667,Automatic,39603,Diesel,160,50.4,2.0
 Q3,2017,142666.66666666666,Automatic,42908,Diesel,145,51.4,2.0
 A5,2014,84000.0,Automatic,83872,Diesel,125,58.9,2.0
 Q3,2016,93333.33333333333,Automatic,58750,Petrol,145,47.9,1.4
 A3,2019,106666.66666666667,Manual,2029,Petrol,145,49.6,1.0
 A6,2018,117000.0,Automatic,22958,Petrol,145,50.4,1.8
 A4,2017,101000.0,Automatic,32097,Diesel,145,72.4,2.0
 A5,2017,141666.66666666666,Automatic,13057,Petrol,145,53.3,2.0
 S4,2017,184666.66666666666,Automatic,20278,Petrol,145,38.7,3.0
 A4,2016,81000.0,Manual,52561,Diesel,0,74.3,2.0
 A6,2015,83000.0,Automatic,31604,Diesel,20,67.3,2.0
