model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 5 Series,2014,71333.33333333333,Automatic,67068,Diesel,125,57.6,2.0
 6 Series,2018,189333.33333333334,Automatic,14827,Petrol,145,42.8,2.0
 5 Series,2016,113666.66666666667,Automatic,62794,Diesel,160,51.4,3.0
 1 Series,2017,86000.0,Automatic,26676,Diesel,145,72.4,1.5
 7 Series,2014,103000.0,Automatic,39554,Diesel,160,50.4,3.0
 5 Series,2016,94666.66666666667,Automatic,35309,Diesel,125,60.1,2.0
 5 Series,2017,113000.0,Automatic,38538,Diesel,125,60.1,2.0
 2 Series,2018,109666.66666666667,Manual,10401,Petrol,145,52.3,1.5
 4 Series,2017,100000.0,Manual,42668,Diesel,30,62.8,2.0
 5 Series,2016,91666.66666666667,Automatic,36099,Diesel,20,68.9,2.0
 X3,2017,108666.66666666667,Manual,74907,Diesel,145,52.3,2.0
 1 Series,2017,83000.0,Manual,29840,Diesel,20,68.9,2.0
 X3,2016,99000.0,Automatic,77823,Diesel,125,54.3,2.0
 2 Series,2015,67000.0,Manual,31469,Diesel,20,68.9,2.0
 X3,2017,154333.33333333334,Automatic,19057,Diesel,145,54.3,2.0
 3 Series,2017,116000.0,Manual,16570,Diesel,125,58.9,2.0
 3 Series,2017,100000.0,Automatic,55594,Other,135,148.7,2.0
 3 Series,2017,113000.0,Automatic,45456,Diesel,30,64.2,2.0
 1 Series,2017,104666.66666666667,Automatic,22812,Diesel,20,68.9,1.5
 4 Series,2014,89333.33333333333,Automatic,47348,Diesel,125,60.1,2.0
 1 Series,2015,61666.666666666664,Automatic,75124,Diesel,20,70.6,2.0
 3 Series,2015,81000.0,Automatic,78957,Diesel,30,62.8,2.0
 3 Series,2016,97000.0,Automatic,29213,Diesel,30,64.2,2.0
 1 Series,2016,57333.333333333336,Manual,44498,Diesel,0,83.1,1.5
 1 Series,2016,91666.66666666667,Automatic,22461,Diesel,20,67.3,2.0
 1 Series,2016,68666.66666666667,Manual,23005,Petrol,125,53.3,1.5
 3 Series,2019,124666.66666666667,Automatic,22310,Diesel,145,64.2,2.0
 3 Series,2016,91666.66666666667,Automatic,51994,Diesel,30,62.8,2.0
 X5,2016,125666.66666666667,Automatic,96213,Diesel,165,52.3,2.0
 X3,2015,123000.0,Automatic,50316,Diesel,200,47.9,3.0
 4 Series,2017,118000.0,Automatic,44011,Diesel,150,65.7,2.0
 X4,2017,161666.66666666666,Automatic,34960,Diesel,150,54.3,2.0
 i3,2016,105666.66666666667,Automatic,25269,Other,0,470.8,0.6
 1 Series,2017,159666.66666666666,Automatic,24029,Petrol,145,39.8,3.0
 1 Series,2017,81000.0,Manual,22920,Petrol,145,53.3,1.5
 2 Series,2017,88000.0,Automatic,61818,Other,0,141.2,1.5
 3 Series,2015,73333.33333333333,Manual,59634,Diesel,125,61.4,2.0
 1 Series,2016,86333.33333333333,Manual,29226,Diesel,30,62.8,2.0
 X1,2017,133000.0,Automatic,33514,Diesel,145,60.1,2.0
 1 Series,2018,98333.33333333333,Automatic,6522,Petrol,145,37.2,1.5
 3 Series,2016,101000.0,Manual,11231,Petrol,145,47.9,2.0
 1 Series,2016,69666.66666666667,Manual,21591,Petrol,125,53.3,1.5
 X3,2013,85000.0,Automatic,79972,Diesel,200,47.1,3.0
 1 Series,2018,119000.0,Automatic,14037,Petrol,145,54.3,1.5
 5 Series,2017,183333.33333333334,Automatic,25034,Diesel,200,47.9,3.0
 X1,2016,106333.33333333333,Automatic,44478,Diesel,125,60.1,2.0
 X3,2017,140666.66666666666,Automatic,74852,Diesel,150,47.1,3.0
 4 Series,2016,99000.0,Automatic,45856,Diesel,30,65.7,2.0
 1 Series,2016,56333.333333333336,Manual,48858,Diesel,0,83.1,1.5
 1 Series,2017,78666.66666666667,Manual,40399,Diesel,145,68.9,2.0
 1 Series,2016,84000.0,Manual,17393,Diesel,30,65.7,2.0
 5 Series,2014,70333.33333333333,Automatic,84816,Diesel,30,62.8,2.0
 3 Series,2017,144333.33333333334,Automatic,27139,Diesel,160,51.4,3.0
 1 Series,2017,89333.33333333333,Automatic,91563,Diesel,125,60.1,2.0
 3 Series,2014,89333.33333333333,Manual,32139,Petrol,205,43.5,2.0
 X1,2017,98000.0,Automatic,54120,Diesel,30,65.7,2.0
