model,year,price,transmission,mileage,fuelType,tax(£),mpg,engineSize
 I20,2017,54333.333333333336,Manual,17307,Petrol,145,58.9,1.2
 Tucson,2016,92666.66666666667,Automatic,25233,Diesel,235,43.5,2.0
 Tucson,2016,72333.33333333333,Manual,37877,Diesel,30,61.7,1.7
 I10,2016,40000.0,Manual,23789,Petrol,20,60.1,1.0
 IX35,2015,65000.0,Manual,33177,Diesel,160,51.4,2.0
 I10,2015,38000.0,Manual,41650,Petrol,20,60.1,1.0
 I20,2015,42000.0,Manual,39547,Petrol,30,55.4,1.2
 Tucson,2016,90333.33333333333,Automatic,30300,Diesel,125,57.6,1.7
 I30,2018,70666.66666666667,Automatic,38082,Petrol,145,51.4,1.4
 Tucson,2016,77666.66666666667,Manual,21014,Diesel,30,61.7,1.7
 Tucson,2017,92666.66666666667,Manual,22888,Diesel,150,61.7,1.7
 I30,2017,67666.66666666667,Manual,20000,Petrol,150,56.5,1.0
 I20,2015,42000.0,Manual,26413,Petrol,30,55.4,1.2
 Tucson,2019,124666.66666666667,Manual,10000,Petrol,150,34.9,1.6
 Tucson,2017,102333.33333333333,Semi-Auto,18626,Diesel,125,57.6,1.7
 I40,2015,55333.333333333336,Manual,31979,Diesel,30,65.7,1.7
 Tucson,2017,91666.66666666667,Manual,26685,Diesel,30,61.7,1.7
 I10,2018,48333.333333333336,Manual,35000,Petrol,145,60.1,1.0
 I10,2016,46000.0,Manual,6000,Petrol,20,57.6,1.2
 Tucson,2017,84000.0,Manual,17059,Diesel,30,61.7,1.7
 Tucson,2017,82000.0,Manual,49174,Petrol,145,44.8,1.6
 I20,2015,49333.333333333336,Manual,6413,Petrol,30,55.4,1.2
 Tucson,2015,68000.0,Manual,34177,Diesel,30,61.7,1.7
 I10,2016,50333.333333333336,Manual,7447,Petrol,30,57.6,1.2
 IX35,2013,52000.0,Manual,34500,Diesel,145,53.3,1.7
 I10,2016,41000.0,Manual,16751,Petrol,30,57.6,1.2
 Tucson,2018,98000.0,Manual,16265,Petrol,150,44.8,1.6
 Tucson,2018,95666.66666666667,Manual,19087,Petrol,145,44.8,1.6
 I30,2017,58666.666666666664,Manual,38206,Diesel,145,78.4,1.6
 Tucson,2016,101000.0,Automatic,20025,Diesel,125,57.6,1.7
 Ioniq,2018,105333.33333333333,Automatic,32227,Hybrid,135,78.5,1.6
 Tucson,2015,93333.33333333333,Automatic,28904,Diesel,200,46.3,0.0
 I10,2014,47000.0,Automatic,8646,Petrol,160,45.6,0.0
 I30,2017,70666.66666666667,Automatic,17663,Diesel,20,72.4,0.0
 I20,2017,77000.0,Automatic,12661,Petrol,145,44.1,0.0
 Kona,2018,88000.0,Manual,7359,Petrol,145,52.3,1.0
 Tucson,2019,126666.66666666667,Manual,4353,Petrol,145,35.3,1.6
 I10,2018,60333.333333333336,Manual,7126,Petrol,145,60.1,0.0
 Veloster,2014,53333.333333333336,Manual,36324,Petrol,160,43.5,1.6
 I10,2018,57333.333333333336,Manual,12948,Petrol,145,60.1,0.0
 I30,2019,98333.33333333333,Manual,2481,Petrol,145,41.5,0.0
 Tucson,2016,85000.0,Manual,27311,Diesel,30,61.7,0.0
 I30,2016,55333.333333333336,Manual,34443,Diesel,0,78.4,0.0
 Tucson,2017,93333.33333333333,Manual,16961,Diesel,30,61.7,0.0
 Tucson,2017,99000.0,Manual,5067,Petrol,145,44.8,1.6
 I10,2013,30666.666666666668,Manual,45230,Petrol,20,61.4,0.0
 I10,2018,69666.66666666667,Manual,6349,Petrol,145,57.6,0.0
 I40,2015,70666.66666666667,Manual,13268,Diesel,30,65.7,0.0
 I30,2016,55333.333333333336,Manual,29610,Diesel,0,78.4,0.0
 IX35,2015,69666.66666666667,Manual,23041,Diesel,165,51.4,0.0
 I20,2017,67666.66666666667,Manual,21821,Petrol,145,61.4,0.0
 I10,2018,52333.333333333336,Manual,17397,Petrol,150,60.1,0.0
 I10,2016,39000.0,Manual,31854,Petrol,20,60.1,0.0
 Tucson,2016,69666.66666666667,Manual,37993,Diesel,30,61.7,0.0
 I800,2018,104666.66666666667,Manual,30305,Diesel,145,31.7,0.0
