model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Octavia,2017,71666.66666666667,Manual,25250,Petrol,150,54.3,1.4
 Citigo,2018,55333.333333333336,Manual,1264,Petrol,145,67.3,1.0
 Octavia,2019,109666.66666666667,Automatic,6825,Diesel,145,67.3,2.0
 Yeti Outdoor,2015,89333.33333333333,Automatic,28431,Diesel,165,51.4,2.0
 Superb,2019,124000.0,Manual,10912,Petrol,150,40.9,1.5
 Yeti Outdoor,2017,92666.66666666667,Automatic,47005,Diesel,145,51.4,2.0
 Superb,2019,103666.66666666667,Manual,14850,Petrol,145,40.9,1.5
 Octavia,2019,133000.0,Automatic,5850,Diesel,150,50.4,2.0
 Kodiaq,2019,209666.66666666666,Automatic,2633,Petrol,150,31.4,2.0
 Octavia,2017,133000.0,Manual,20000,Petrol,150,43.5,2.0
 Octavia,2016,54333.333333333336,Automatic,91280,Diesel,30,64.2,2.0
 Octavia,2017,60666.666666666664,Manual,84450,Diesel,0,74.3,1.6
 Superb,2016,44666.666666666664,Manual,109060,Diesel,20,68.9,1.6
 Rapid,2016,49333.333333333336,Manual,33013,Petrol,20,57.7,1.2
 Karoq,2018,133333.33333333334,Manual,12894,Petrol,150,51.4,1.5
 Fabia,2012,28666.666666666668,Manual,54631,Petrol,125,49.6,1.2
 Fabia,2012,26666.666666666668,Manual,61000,Petrol,125,49.6,1.2
 Octavia,2018,94666.66666666667,Automatic,31866,Diesel,150,72.4,1.6
 Yeti,2014,64000.0,Manual,41936,Diesel,205,48.7,2.0
 Fabia,2017,77000.0,Manual,15282,Petrol,150,64.2,1.0
 Scala,2020,125000.0,Manual,731,Petrol,150,50.4,1.0
 Octavia,2019,91333.33333333333,Manual,14449,Petrol,150,55.4,1.5
 Octavia,2019,98333.33333333333,Automatic,14896,Petrol,150,57.7,1.0
 Octavia,2019,133000.0,Automatic,7000,Petrol,145,47.9,2.0
 Fabia,2019,91333.33333333333,Manual,6000,Petrol,145,51.4,1.0
 Superb,2018,99333.33333333333,Manual,13939,Petrol,145,40.9,1.5
 Fabia,2017,80000.0,Automatic,10660,Petrol,150,60.1,1.2
 Kodiaq,2019,144666.66666666666,Automatic,11932,Petrol,145,34.0,1.5
 Kodiaq,2019,197000.0,Automatic,14398,Diesel,150,49.6,2.0
 Superb,2019,122333.33333333333,Automatic,10587,Diesel,150,62.8,2.0
 Superb,2019,155666.66666666666,Automatic,5000,Petrol,145,36.7,1.5
 Fabia,2019,58333.333333333336,Manual,12368,Petrol,145,50.4,1.0
 Fabia,2019,86000.0,Manual,2174,Petrol,150,50.4,1.0
 Kodiaq,2019,203333.33333333334,Automatic,3785,Petrol,150,31.4,2.0
 Kodiaq,2019,203333.33333333334,Automatic,5705,Petrol,150,31.4,2.0
 Superb,2017,140666.66666666666,Automatic,8448,Diesel,150,61.4,2.0
 Yeti Outdoor,2016,102333.33333333333,Automatic,18200,Diesel,165,51.4,2.0
 Octavia,2019,95666.66666666667,Automatic,13393,Diesel,145,72.4,1.6
 Octavia,2019,91666.66666666667,Manual,15084,Diesel,145,68.9,1.6
 Superb,2019,172333.33333333334,Automatic,15,Petrol,145,38.2,2.0
 Fabia,2019,88000.0,Manual,2696,Petrol,145,64.2,1.0
 Fabia,2019,69666.66666666667,Manual,4597,Petrol,145,57.7,1.0
 Octavia,2019,102333.33333333333,Automatic,14375,Diesel,145,70.6,1.6
 Fabia,2016,59333.333333333336,Manual,15000,Petrol,20,58.9,1.2
 Octavia,2019,89333.33333333333,Manual,12421,Diesel,150,68.9,1.6
 Karoq,2018,138333.33333333334,Manual,15296,Petrol,150,51.4,1.5
 Karoq,2019,179000.0,Automatic,5347,Petrol,145,33.2,2.0
 Octavia,2019,99333.33333333333,Manual,14741,Petrol,150,52.3,1.5
 Kodiaq,2020,237333.33333333334,Automatic,5790,Diesel,145,39.2,2.0
 Scala,2019,103666.66666666667,Manual,4990,Petrol,145,49.6,1.0
 Kodiaq,2017,175666.66666666666,Automatic,21000,Petrol,150,38.2,2.0
 Citigo,2018,50333.333333333336,Manual,15043,Petrol,150,68.9,1.0
 Yeti Outdoor,2017,99333.33333333333,Automatic,25500,Petrol,150,51.4,1.2
 Octavia,2019,101333.33333333333,Automatic,14300,Petrol,150,57.7,1.0
 Fabia,2016,67666.66666666667,Automatic,14000,Petrol,20,60.1,1.2
 Yeti Outdoor,2017,74666.66666666667,Automatic,49409,Petrol,145,51.4,1.2
 Superb,2018,126666.66666666667,Automatic,34910,Diesel,145,54.3,2.0
 Octavia,2019,133000.0,Automatic,6490,Diesel,145,45.6,2.0
 Karoq,2019,133000.0,Automatic,4990,Diesel,145,62.8,1.6
 Superb,2019,197000.0,Automatic,4990,Diesel,145,47.1,2.0
 Octavia,2019,98333.33333333333,Automatic,13550,Petrol,145,57.7,1.0
 Fabia,2017,62666.666666666664,Manual,20000,Petrol,20,58.8,1.2
 Citigo,2017,46000.0,Manual,24341,Petrol,0,68.9,1.0
 Octavia,2019,99000.0,Manual,14957,Diesel,150,67.3,1.6
 Octavia,2019,99333.33333333333,Automatic,14531,Petrol,145,57.7,1.0
 Kodiaq,2019,181000.0,Automatic,12150,Diesel,145,37.2,2.0
 Superb,2016,87333.33333333333,Automatic,35869,Diesel,125,61.4,2.0
 Karoq,2019,139333.33333333334,Automatic,12999,Petrol,145,50.4,1.5
 Octavia,2019,87000.0,Manual,11950,Petrol,145,60.1,1.0
 Superb,2019,191666.66666666666,Automatic,6250,Diesel,145,44.1,2.0
 Kodiaq,2019,146666.66666666666,Automatic,14750,Petrol,145,34.0,1.5
 Fabia,2019,67666.66666666667,Manual,2268,Petrol,150,57.7,1.0
 Superb,2019,130333.33333333333,Manual,5272,Petrol,150,40.9,1.5
 Superb,2019,172333.33333333334,Automatic,2393,Petrol,145,38.2,2.0
 Superb,2017,111666.66666666667,Automatic,22060,Diesel,145,62.8,2.0
 Fabia,2020,102666.66666666667,Manual,1474,Petrol,150,50.4,1.0
 Superb,2017,93666.66666666667,Manual,23757,Diesel,145,67.3,1.6
 Octavia,2017,88000.0,Automatic,19647,Petrol,150,57.7,1.4
 Octavia,2019,96333.33333333333,Manual,6966,Petrol,145,55.4,1.5
 Kodiaq,2017,135333.33333333334,Automatic,16241,Petrol,150,44.8,1.4
