model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 Corsa,2018,53333.333333333336,Manual,9876,Petrol,145,55.4,1.4
 Corsa,2019,81000.0,Manual,2500,Petrol,145,54.3,1.4
 Corsa,2017,66666.66666666667,Automatic,9625,Petrol,145,47.9,1.4
 Corsa,2016,52333.333333333336,Manual,25796,Petrol,30,55.4,1.4
 Corsa,2019,67666.66666666667,Manual,3887,Petrol,145,43.5,1.4
 Corsa,2017,65666.66666666667,Manual,13546,Petrol,145,49.6,1.4
 Corsa,2011,24666.666666666668,Manual,53067,Petrol,145,49.6,1.4
 Corsa,2019,67666.66666666667,Manual,3953,Petrol,150,43.5,1.4
 Corsa,2018,67666.66666666667,Manual,11160,Petrol,145,43.5,1.4
 Corsa,2016,43000.0,Manual,13046,Petrol,30,55.4,1.4
 Corsa,2016,49333.333333333336,Manual,10316,Petrol,30,55.4,1.4
 Corsa,2013,26666.666666666668,Manual,52243,Petrol,125,51.4,1.2
 Corsa,2012,14333.333333333334,Manual,80000,Diesel,30,67.3,1.2
 Corsa,2009,22666.666666666668,Manual,31000,Diesel,30,62.8,1.2
 Corsa,2017,54333.333333333336,Manual,17866,Petrol,145,54.3,1.4
 Corsa,2014,37000.0,Manual,40584,Petrol,125,51.4,1.2
 Corsa,2016,38000.0,Manual,22519,Petrol,30,55.4,1.4
 Corsa,2016,49333.333333333336,Manual,4314,Petrol,30,55.4,1.4
 Corsa,2016,49333.333333333336,Manual,11991,Petrol,30,55.4,1.4
 Corsa,2018,64666.666666666664,Manual,7905,Petrol,150,55.4,1.4
 Corsa,2016,40000.0,Manual,30161,Petrol,30,55.4,1.4
 Corsa,2018,45000.0,Manual,9293,Petrol,145,55.4,1.4
 Corsa,2013,30666.666666666668,Manual,66000,Petrol,125,51.4,1.2
 Corsa,2014,30666.666666666668,Manual,66000,Petrol,125,51.4,1.4
 Corsa,2008,27666.666666666668,Automatic,31000,Petrol,200,42.8,1.4
 Corsa,2012,28666.666666666668,Manual,63000,Petrol,125,51.4,1.2
 Corsa,2009,15333.333333333334,Manual,86558,Petrol,160,45.6,1.4
 Corsa,2017,49333.333333333336,Manual,20196,Petrol,145,55.4,1.4
 Corsa,2019,72666.66666666667,Manual,1757,Petrol,145,43.5,1.4
 Corsa,2017,52333.333333333336,Manual,27669,Petrol,30,55.4,1.4
 Corsa,2019,65666.66666666667,Manual,4511,Petrol,145,43.5,1.4
 Corsa,2017,60333.333333333336,Manual,4377,Petrol,145,55.4,1.4
 Corsa,2017,49333.333333333336,Manual,25644,Petrol,30,55.4,1.4
 Corsa,2017,54333.333333333336,Manual,14060,Petrol,30,55.4,1.4
 Corsa,2017,60333.333333333336,Manual,18016,Petrol,150,54.3,1.4
 Corsa,2017,54333.333333333336,Manual,15078,Petrol,30,54.3,1.4
 Corsa,2017,57333.333333333336,Manual,28966,Petrol,145,54.3,1.4
 Corsa,2018,70666.66666666667,Manual,12000,Petrol,145,43.5,1.4
 Corsa,2018,81000.0,Manual,15531,Petrol,145,48.7,1.4
 Corsa,2015,49333.333333333336,Manual,17527,Petrol,125,54.3,1.4
 Corsa,2017,55333.333333333336,Manual,6508,Petrol,145,54.3,1.4
 Corsa,2017,49333.333333333336,Manual,23462,Petrol,145,55.4,1.4
 Corsa,2017,69666.66666666667,Manual,6178,Petrol,145,54.3,1.4
 Corsa,2016,45000.0,Manual,20589,Petrol,30,55.4,1.4
