model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 T-Roc,2019,175666.66666666666,Automatic,13904,Diesel,145,49.6,2.0
 T-Roc,2019,188333.33333333334,Automatic,4562,Diesel,145,49.6,2.0
 T-Roc,2019,140666.66666666666,Manual,7414,Diesel,145,50.4,2.0
 T-Roc,2019,235333.33333333334,Automatic,4825,Petrol,145,32.5,2.0
 T-Roc,2019,154666.66666666666,Semi-Auto,6500,Petrol,150,39.8,1.5
 T-Roc,2020,235666.66666666666,Manual,10,Petrol,145,42.2,1.5
 T-Roc,2020,206000.0,Manual,10,Petrol,145,42.2,1.5
 T-Roc,2020,302333.3333333333,Semi-Auto,10,Petrol,145,32.5,2.0
 T-Roc,2019,148666.66666666666,Manual,10,Petrol,145,44.1,1.0
 T-Roc,2019,158000.0,Manual,10,Petrol,145,42.2,1.5
 T-Roc,2019,162000.0,Semi-Auto,10,Petrol,145,39.8,1.5
 T-Roc,2019,160000.0,Manual,10,Petrol,145,42.2,1.5
 T-Roc,2020,190666.66666666666,Semi-Auto,10,Petrol,145,39.8,1.5
 T-Roc,2019,162000.0,Semi-Auto,1069,Petrol,145,39.8,1.5
 T-Roc,2018,118000.0,Manual,21645,Petrol,145,53.3,1.5
 T-Roc,2018,145666.66666666666,Manual,16972,Petrol,145,53.3,1.5
 T-Roc,2018,128000.0,Manual,15100,Petrol,145,44.1,1.0
 T-Roc,2018,128000.0,Manual,1380,Petrol,150,55.4,1.0
 T-Roc,2019,237333.33333333334,Semi-Auto,2500,Petrol,145,32.5,2.0
 T-Roc,2020,175333.33333333334,Semi-Auto,5000,Petrol,145,39.8,1.5
 T-Roc,2019,135333.33333333334,Manual,12300,Petrol,145,42.2,1.5
 T-Roc,2020,160000.0,Manual,2500,Petrol,145,44.1,1.0
 T-Roc,2019,158000.0,Manual,5540,Petrol,145,42.2,1.5
 T-Roc,2019,168000.0,Manual,3500,Petrol,145,42.2,1.5
 T-Roc,2018,135333.33333333334,Manual,16251,Petrol,145,53.3,1.5
 T-Roc,2019,137333.33333333334,Manual,5127,Petrol,145,42.2,1.5
 T-Roc,2019,238333.33333333334,Semi-Auto,3500,Petrol,145,32.5,2.0
 T-Roc,2018,120000.0,Manual,22584,Petrol,145,44.1,1.0
 T-Roc,2020,187333.33333333334,Manual,1955,Diesel,150,50.4,2.0
 T-Roc,2018,122000.0,Manual,10456,Petrol,150,55.4,1.0
 T-Roc,2020,209000.0,Semi-Auto,2500,Petrol,145,39.8,1.5
 T-Roc,2018,118000.0,Manual,6908,Petrol,145,55.4,1.0
 T-Roc,2019,161666.66666666666,Manual,7216,Diesel,145,50.4,1.6
 T-Roc,2019,161666.66666666666,Manual,4003,Diesel,145,46.3,2.0
 T-Roc,2019,151000.0,Manual,5,Diesel,150,50.4,1.6
 T-Roc,2018,122000.0,Manual,14837,Petrol,145,53.3,1.5
 T-Roc,2018,122000.0,Manual,14337,Petrol,145,53.3,1.5
 T-Roc,2019,156333.33333333334,Manual,3392,Diesel,145,50.4,2.0
 T-Roc,2018,126000.0,Manual,6753,Petrol,145,53.3,1.5
 T-Roc,2019,183000.0,Semi-Auto,2423,Diesel,145,49.6,2.0
 T-Roc,2018,126000.0,Manual,6753,Petrol,145,53.3,1.5
 T-Roc,2019,162000.0,Manual,4224,Petrol,145,42.2,1.5
 T-Roc,2019,172333.33333333334,Manual,6144,Diesel,145,50.4,2.0
 T-Roc,2019,172333.33333333334,Manual,5345,Diesel,145,50.4,2.0
 T-Roc,2019,183000.0,Semi-Auto,4233,Diesel,145,49.6,2.0
 T-Roc,2018,122000.0,Manual,14837,Petrol,145,53.3,1.5
 T-Roc,2018,122000.0,Manual,14337,Petrol,145,53.3,1.5
 T-Roc,2019,162000.0,Semi-Auto,5027,Petrol,145,39.8,1.5
 T-Roc,2019,156333.33333333334,Manual,3392,Diesel,145,50.4,2.0
 T-Roc,2019,162000.0,Manual,2520,Petrol,145,42.2,1.5
 T-Roc,2019,258666.66666666666,Automatic,3028,Petrol,145,32.5,2.0
 T-Roc,2018,155666.66666666666,Manual,9048,Petrol,145,53.3,1.5
 T-Roc,2018,142333.33333333334,Manual,7621,Petrol,145,53.3,1.5
 T-Roc,2019,154333.33333333334,Manual,4387,Diesel,145,50.4,1.6
 T-Roc,2018,122000.0,Manual,10826,Petrol,150,55.4,1.0
 T-Roc,2018,131333.33333333334,Manual,10823,Petrol,145,53.3,1.5
 T-Roc,2019,148000.0,Manual,10,Diesel,145,50.4,1.6
 T-Roc,2020,215000.0,Manual,322,Diesel,145,50.4,2.0
 T-Roc,2019,160666.66666666666,Manual,8249,Diesel,145,50.4,1.6
 T-Roc,2018,114666.66666666667,Manual,33555,Petrol,145,53.3,1.5
 T-Roc,2019,154333.33333333334,Manual,10,Diesel,145,50.4,2.0
 T-Roc,2019,183000.0,Semi-Auto,2423,Diesel,145,49.6,2.0
 T-Roc,2019,172333.33333333334,Manual,6144,Diesel,145,50.4,2.0
 T-Roc,2019,172333.33333333334,Manual,5345,Diesel,145,50.4,2.0
 T-Roc,2019,183000.0,Semi-Auto,4233,Diesel,145,49.6,2.0
 T-Roc,2018,128000.0,Manual,10990,Petrol,145,53.3,1.5
 T-Roc,2018,125000.0,Manual,10398,Petrol,145,53.3,1.5
 T-Roc,2018,131000.0,Manual,6482,Diesel,145,50.4,1.6
 T-Roc,2018,115666.66666666667,Manual,19578,Petrol,145,55.4,1.0
 T-Roc,2019,224666.66666666666,Semi-Auto,1000,Petrol,145,32.5,2.0
 T-Roc,2019,224666.66666666666,Semi-Auto,1000,Petrol,145,32.5,2.0
 T-Roc,2018,131000.0,Manual,6482,Diesel,145,50.4,1.6
 T-Roc,2018,115666.66666666667,Manual,19578,Petrol,145,55.4,1.0
 T-Roc,2018,125000.0,Manual,10398,Petrol,145,53.3,1.5
 T-Roc,2018,138333.33333333334,Manual,21081,Petrol,145,53.3,1.5
 T-Roc,2019,154333.33333333334,Semi-Auto,1045,Diesel,145,49.6,2.0
 T-Roc,2019,157666.66666666666,Semi-Auto,3779,Diesel,145,49.6,2.0
 T-Roc,2019,221333.33333333334,Semi-Auto,1790,Petrol,145,32.5,2.0
 T-Roc,2019,145666.66666666666,Manual,2000,Petrol,145,42.2,1.5
 T-Roc,2018,128000.0,Manual,6884,Petrol,145,53.3,1.5
 T-Roc,2019,232000.0,Semi-Auto,1566,Petrol,150,32.5,2.0
 T-Roc,2019,134333.33333333334,Manual,10535,Petrol,145,42.2,1.5
 T-Roc,2019,154333.33333333334,Manual,6187,Diesel,145,50.4,2.0
 T-Roc,2019,138333.33333333334,Manual,7000,Diesel,145,50.4,1.6
 T-Roc,2019,154333.33333333334,Manual,6712,Diesel,145,46.3,2.0
 T-Roc,2018,142333.33333333334,Manual,12043,Petrol,145,53.3,1.5
 T-Roc,2019,145666.66666666666,Manual,100,Petrol,145,42.2,1.5
 T-Roc,2019,148000.0,Manual,6000,Diesel,145,50.4,1.6
 T-Roc,2019,172333.33333333334,Semi-Auto,5773,Diesel,150,49.6,2.0
 T-Roc,2018,132333.33333333334,Manual,7389,Petrol,145,53.3,1.5
 T-Roc,2018,145666.66666666666,Manual,16775,Petrol,145,53.3,1.5
 T-Roc,2020,160666.66666666666,Manual,3800,Diesel,150,50.4,1.6
 T-Roc,2019,135333.33333333334,Manual,6000,Petrol,145,44.1,1.0
 T-Roc,2019,168333.33333333334,Manual,4800,Diesel,145,46.3,2.0
 T-Roc,2018,143666.66666666666,Manual,23385,Diesel,145,56.5,2.0
 T-Roc,2018,142333.33333333334,Manual,16735,Petrol,145,53.3,1.5
 T-Roc,2018,114666.66666666667,Manual,30214,Petrol,145,55.4,1.0
 T-Roc,2018,128000.0,Manual,15307,Petrol,145,53.3,1.5
 T-Roc,2018,125000.0,Manual,9128,Petrol,145,44.1,1.0
 T-Roc,2019,151000.0,Manual,14,Diesel,150,50.4,1.6
 T-Roc,2017,78000.0,Manual,17954,Petrol,150,60.1,1.0
 T-Roc,2019,232000.0,Semi-Auto,3167,Petrol,145,32.5,2.0
 T-Roc,2018,148666.66666666666,Manual,9076,Petrol,145,53.3,1.5
 T-Roc,2019,177333.33333333334,Semi-Auto,1400,Petrol,145,51.4,1.5
 T-Roc,2019,151666.66666666666,Automatic,5000,Petrol,145,39.8,1.5
 T-Roc,2019,136333.33333333334,Manual,1689,Diesel,145,50.4,1.6
 T-Roc,2019,150000.0,Manual,3000,Diesel,145,50.4,2.0
 T-Roc,2019,140666.66666666666,Manual,5000,Diesel,145,50.4,1.6
 T-Roc,2019,128000.0,Manual,13697,Petrol,150,44.1,1.0
 T-Roc,2019,154666.66666666666,Semi-Auto,5000,Petrol,150,39.8,1.5
 T-Roc,2018,118000.0,Manual,20150,Petrol,145,55.4,1.0
 T-Roc,2018,123000.0,Manual,8800,Petrol,145,44.1,1.0
 T-Roc,2019,153333.33333333334,Manual,8325,Diesel,145,50.4,1.6
 T-Roc,2019,154333.33333333334,Manual,49,Diesel,145,50.4,1.6
 T-Roc,2019,156333.33333333334,Manual,5876,Diesel,145,50.4,1.6
 T-Roc,2019,161666.66666666666,Manual,2966,Diesel,145,50.4,2.0
 T-Roc,2019,200000.0,Automatic,2150,Petrol,145,34.5,2.0
 T-Roc,2018,114666.66666666667,Manual,18151,Petrol,145,55.4,1.0
 T-Roc,2019,151000.0,Manual,461,Diesel,145,50.4,1.6
 T-Roc,2018,132333.33333333334,Manual,8350,Petrol,145,55.4,1.0
 T-Roc,2019,161666.66666666666,Manual,9999,Diesel,145,50.4,1.6
 T-Roc,2019,159666.66666666666,Manual,5511,Diesel,145,46.3,2.0
 T-Roc,2018,126000.0,Manual,7512,Petrol,145,55.4,1.0
 T-Roc,2019,157666.66666666666,Manual,2974,Diesel,145,50.4,2.0
 T-Roc,2019,161666.66666666666,Automatic,6362,Diesel,145,49.6,2.0
 T-Roc,2019,151000.0,Manual,3014,Diesel,145,50.4,1.6
 T-Roc,2019,151000.0,Manual,4417,Diesel,145,50.4,1.6
 T-Roc,2019,168333.33333333334,Semi-Auto,4112,Diesel,150,49.6,2.0
 T-Roc,2018,151000.0,Manual,13750,Diesel,150,50.4,1.6
 T-Roc,2017,94333.33333333333,Manual,20706,Petrol,0,65.7,1.0
 T-Roc,2020,199000.0,Semi-Auto,2964,Petrol,150,39.8,1.5
 T-Roc,2018,122000.0,Manual,20961,Petrol,145,55.4,1.0
 T-Roc,2018,148666.66666666666,Manual,9898,Petrol,145,53.3,1.5
 T-Roc,2018,143666.66666666666,Manual,14505,Diesel,145,56.5,2.0
 T-Roc,2019,159000.0,Manual,1647,Petrol,145,42.2,1.5
 T-Roc,2019,148000.0,Manual,4000,Diesel,145,50.4,2.0
 T-Roc,2018,114666.66666666667,Manual,11657,Petrol,145,55.4,1.0
 T-Roc,2018,145666.66666666666,Manual,5215,Petrol,145,53.3,1.5
 T-Roc,2020,154666.66666666666,Manual,4000,Petrol,145,42.2,1.5
 T-Roc,2018,135333.33333333334,Semi-Auto,20709,Petrol,150,52.3,1.5
 T-Roc,2018,122000.0,Manual,6400,Petrol,150,55.4,1.0
 T-Roc,2020,162000.0,Manual,5000,Petrol,145,42.2,1.5
 T-Roc,2018,135333.33333333334,Manual,23975,Petrol,145,53.3,1.5
 T-Roc,2018,133000.0,Manual,15220,Diesel,150,56.5,2.0
 T-Roc,2018,161666.66666666666,Semi-Auto,18023,Petrol,150,41.5,2.0
 T-Roc,2018,122000.0,Manual,18080,Petrol,145,55.4,1.0
 T-Roc,2019,148000.0,Manual,5102,Diesel,145,50.4,2.0
 T-Roc,2020,168333.33333333334,Manual,5120,Diesel,145,50.4,1.6
 T-Roc,2019,122000.0,Manual,8000,Petrol,145,44.1,1.0
 T-Roc,2020,191666.66666666666,Manual,5000,Petrol,145,44.1,1.5
 T-Roc,2019,153333.33333333334,Manual,4693,Diesel,145,46.3,2.0
 T-Roc,2018,135333.33333333334,Manual,20645,Petrol,145,53.3,1.5
 T-Roc,2018,135333.33333333334,Manual,6108,Petrol,145,53.3,1.5
 T-Roc,2020,151666.66666666666,Manual,501,Petrol,145,44.1,1.0
 T-Roc,2018,137333.33333333334,Manual,25380,Diesel,150,56.5,2.0
 T-Roc,2018,138333.33333333334,Manual,10202,Petrol,145,53.3,1.5
 T-Roc,2018,122000.0,Manual,23374,Petrol,145,53.3,1.5
 T-Roc,2019,155666.66666666666,Automatic,5000,Petrol,145,39.8,1.5
 T-Roc,2019,151666.66666666666,Semi-Auto,2860,Petrol,145,39.8,1.5
 T-Roc,2018,148666.66666666666,Manual,19476,Petrol,150,42.2,1.5
 T-Roc,2018,121000.0,Manual,11398,Petrol,145,53.3,1.5
 T-Roc,2018,114666.66666666667,Manual,8074,Petrol,145,55.4,1.0
 T-Roc,2018,114666.66666666667,Manual,11877,Petrol,145,55.4,1.0
 T-Roc,2018,114666.66666666667,Manual,17506,Petrol,145,55.4,1.0
 T-Roc,2020,203000.0,Semi-Auto,3000,Petrol,145,39.8,1.5
 T-Roc,2018,159666.66666666666,Semi-Auto,8690,Petrol,145,41.5,2.0
 T-Roc,2018,128000.0,Manual,21800,Petrol,145,53.3,1.5
 T-Roc,2019,140666.66666666666,Manual,4407,Diesel,145,50.4,1.6
 T-Roc,2018,113666.66666666667,Manual,16817,Petrol,145,55.4,1.0
 T-Roc,2019,192666.66666666666,Automatic,6000,Diesel,145,49.6,2.0
 T-Roc,2018,145666.66666666666,Manual,9287,Petrol,145,53.3,1.5
 T-Roc,2018,135333.33333333334,Manual,9600,Petrol,150,53.3,1.5
 T-Roc,2019,151000.0,Manual,5032,Diesel,145,50.4,2.0
 T-Roc,2018,114666.66666666667,Manual,14058,Petrol,145,44.1,1.0
 T-Roc,2018,167000.0,Semi-Auto,6532,Petrol,145,41.5,2.0
 T-Roc,2019,150000.0,Manual,1780,Diesel,145,50.4,1.6
 T-Roc,2018,130333.33333333333,Manual,2750,Petrol,145,53.3,1.5
 T-Roc,2020,191666.66666666666,Manual,10,Petrol,145,44.1,1.5
 T-Roc,2019,136333.33333333334,Manual,11372,Diesel,150,50.4,1.6
 T-Roc,2018,114666.66666666667,Manual,20010,Petrol,145,44.1,1.0
 T-Roc,2018,134333.33333333334,Manual,24093,Petrol,145,53.3,1.5
 T-Roc,2018,118000.0,Manual,14944,Petrol,145,53.3,1.5
 T-Roc,2018,136333.33333333334,Manual,12506,Petrol,145,53.3,1.5
 T-Roc,2020,269333.3333333333,Semi-Auto,1376,Petrol,145,32.5,2.0
 T-Roc,2018,130333.33333333333,Manual,16077,Petrol,145,53.3,1.5
 T-Roc,2018,117000.0,Manual,18533,Petrol,145,55.4,1.0
 T-Roc,2018,111666.66666666667,Manual,19619,Petrol,145,44.1,1.0
 T-Roc,2019,208666.66666666666,Automatic,8000,Petrol,145,32.5,2.0
